ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Nice,2025-07-04 15:22:58,2020-01-12 12:00:00,9.8,6.6,15.1,59,0.0,27.1,32.2,Clear,2020,1,12,Hiver,False,False,True,True,50,False
Lyon,2025-07-04 15:22:58,2020-01-12 12:00:00,3.6,-0.6,8.2,84,0.0,7.1,11.5,Partially cloudy,2020,1,12,Hiver,False,True,True,True,70,False
Marseille,2025-07-04 15:22:58,2020-01-12 12:00:00,5.9,0.3,14.2,81,0.012,10.7,19.3,Rain,2020,1,12,Hiver,False,True,True,True,70,False
Toulouse,2025-07-04 15:22:58,2020-01-13 12:00:00,3.2,-1.7,9.7,86,0.011,21.6,12.6,Rain,2020,1,13,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-13 12:00:00,5.9,0.0,12.2,84,0.044,18.0,17.2,Snow,2020,1,13,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-13 12:00:00,4.1,-0.2,8.6,84,0.0,22.5,9.9,Partially cloudy,2020,1,13,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-13 12:00:00,8.5,6.6,10.0,90,0.03,26.0,19.2,Rain,2020,1,13,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-13 12:00:00,8.5,5.7,12.8,66,0.0,23.7,27.9,Partially cloudy,2020,1,13,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-14 12:00:00,10.6,9.4,12.2,70,0.014,33.2,26.5,Rain,2020,1,14,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-14 12:00:00,10.0,6.8,15.0,66,0.0,21.0,29.5,Partially cloudy,2020,1,14,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-14 12:00:00,11.2,8.4,14.5,74,0.0,22.6,43.9,Overcast,2020,1,14,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-14 12:00:00,9.2,5.8,12.6,76,0.0,30.0,26.8,Partially cloudy,2020,1,14,Hiver,False,False,True,True,50,False
Lyon,2025-07-04 15:22:58,2020-01-14 12:00:00,10.4,8.5,12.7,63,0.0,43.4,51.0,Partially cloudy,2020,1,14,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-15 12:00:00,12.4,9.3,14.1,74,0.129,25.3,48.2,Rain,2020,1,15,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-15 12:00:00,10.6,8.3,13.5,75,0.0,27.0,31.2,Partially cloudy,2020,1,15,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-15 12:00:00,10.2,7.6,12.9,76,0.735,28.7,22.2,Rain,2020,1,15,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-15 12:00:00,10.2,8.1,12.9,66,0.002,20.1,22.8,Rain,2020,1,15,Hiver,False,False,True,True,50,False
